Suburb,BuildingArea,Latitude,Longitude,Price_USD
Albert Park,81.0,-37.8431,144.9565,1077000.0
Albert Park,180.0,-37.8447,144.9523,1725000.0
Albert Park,159.0,-37.8415,144.952,1350000.0
Albert Park,107.0,-37.8422,144.9554,1590000.0
Albert Park,122.0,-37.8421,144.9571,1350000.0
Albert Park,85.0,-37.8451,144.9511,1027500.0
Albert Park,98.0,-37.8443,144.9481,991875.0
Albert Park,83.0,-37.8424,144.9562,1171875.0
Albert Park,147.0,-37.847,144.9575,1500000.0
Albert Park,123.0,-37.8427,144.9546,1575000.0
Albert Park,131.0,-37.8461,144.9528,1500000.0
Albert Park,34.0,-37.8421,144.9517,331875.0
Albert Park,145.0,-37.8434,144.9495,1605000.0
Albert Park,68.0,-37.8387,144.9519,735000.0
Albert Park,134.0,-37.8448,144.9453,1305000.0
Albert Park,54.0,-37.8411,144.9497,738750.0
Alphington,203.0,-37.7717,145.031,1288125.0
Alphington,60.0,-37.7791,145.0306,394125.0
Alphington,140.0,-37.7804,145.0308,603750.0
Alphington,112.0,-37.7743,145.0316,1372500.0
Alphington,271.0,-37.7723,145.0319,1575000.0
Alphington,131.0,-37.7802,145.0243,648750.0
Alphington,60.0,-37.7773,145.0314,292500.0
Alphington,61.0,-37.7805,145.0262,384000.0
Alphington,272.0,-37.7844,145.0225,1425000.0
Alphington,210.0,-37.7719,145.0309,1462500.0
Altona,242.0,-37.87,144.825,390000.0
Altona,268.0,-37.8721,144.8105,1143750.0
Altona,125.0,-37.8687,144.8197,540000.0
Altona,120.0,-37.8693,144.8375,840000.0
Altona,94.0,-37.8702,144.8143,472500.0
Altona,123.0,-37.8616,144.8116,495000.0
Altona,93.0,-37.8696,144.827,435000.0
Altona,76.0,-37.8686,144.8182,382500.0
Altona,57.0,-37.871,144.8185,318750.0
Altona,65.0,-37.8678,144.8384,293250.0
Altona,130.0,-37.8658,144.8155,633750.0
Altona,141.0,-37.868,144.8286,547500.0
Altona,77.0,-37.8655,144.8299,335250.0
Altona,87.0,-37.8608,144.8124,508500.0
Altona,76.0,-37.8687,144.8268,435000.0
Altona,136.0,-37.86,144.8245,630000.0
Altona,113.0,-37.8684,144.815,432750.0
Altona,100.0,-37.8653,144.8129,642750.0
Altona,3.0,-37.868,144.8285,547500.0
Altona,91.0,-37.8646,144.8272,401700.0
Altona North,117.0,-37.8291,144.835,585750.0
Altona North,77.0,-37.8351,144.8529,315750.0
Altona North,167.0,-37.8284,144.8355,512250.0
Altona North,130.0,-37.8379,144.8583,540000.0
Altona North,118.0,-37.838,144.8555,441000.0
Altona North,116.0,-37.8294,144.8378,532500.0
Altona North,109.0,-37.8337,144.8554,506250.0
Altona North,97.0,-37.8258,144.8523,531000.0
Altona North,100.0,-37.8262,144.8443,465000.0
Altona North,157.0,-37.8277,144.8385,546375.0
Altona North,160.0,-37.8382,144.8649,698250.0
Altona North,130.0,-37.8318,144.8388,611250.0
Altona North,70.0,-37.8332,144.8649,219000.0
Armadale,76.0,-37.8543,145.0262,449250.0
Armadale,100.0,-37.8552,145.016,746250.0
Armadale,105.0,-37.854,145.0135,903750.0
Armadale,150.0,-37.8614,145.0274,1454250.0
Armadale,116.0,-37.8592,145.0182,1402500.0
Armadale,165.0,-37.8537,145.0267,1438500.0
Armadale,116.0,-37.8574,145.0281,1537500.0
Armadale,107.0,-37.8564,145.0228,1076250.0
Armadale,38.0,-37.8619,145.0185,210000.0
Armadale,73.0,-37.8574,145.0174,444375.0
Armadale,96.0,-37.8543,145.016,907500.0
Armadale,121.0,-37.8545,145.0145,1350000.0
Armadale,163.0,-37.8613,145.0264,1650000.0
Armadale,53.0,-37.8531,145.0115,330000.0
Armadale,106.0,-37.8542,145.0149,975000.0
Armadale,74.0,-37.8573,145.0186,528000.0
Armadale,98.0,-37.8596,145.0198,465000.0
Armadale,108.0,-37.8559,145.0158,1425000.0
Armadale,88.0,-37.8593,145.0156,448500.0
Armadale,80.0,-37.8554,145.0173,963750.0
Armadale,76.0,-37.8618,145.0183,390000.0
Armadale,3.0,-37.8542,145.0135,825750.0
Armadale,91.0,-37.853,145.0264,651750.0
Armadale,53.0,-37.8549,145.0113,425250.0
Ascot Vale,108.0,-37.7777,144.9195,705000.0
Ascot Vale,62.0,-37.7761,144.9201,350250.0
Ascot Vale,174.0,-37.7777,144.9221,1035000.0
Ascot Vale,62.0,-37.7736,144.9015,367500.0
Ascot Vale,270.0,-37.7729,144.9179,1387500.0
Ascot Vale,128.0,-37.775,144.9091,728250.0
Ascot Vale,77.0,-37.7776,144.9142,532500.0
Ascot Vale,92.0,-37.7745,144.9093,562500.0
Ascot Vale,109.0,-37.7748,144.929,789750.0
Ascot Vale,168.0,-37.7756,144.9208,1032750.0
Ascot Vale,125.0,-37.7759,144.91,727500.0
Ascot Vale,79.0,-37.7807,144.9288,563250.0
Ascot Vale,102.0,-37.7731,144.9206,712500.0
Ascot Vale,90.0,-37.7718,144.9066,513750.0
Ascot Vale,148.0,-37.7819,144.9064,922500.0
Ascot Vale,87.0,-37.7774,144.9186,577500.0
Ascot Vale,185.0,-37.7766,144.9143,667500.0
Ascot Vale,131.0,-37.7725,144.9146,1080000.0
Ascot Vale,120.0,-37.7746,144.9031,750000.0
Ascot Vale,147.0,-37.7737,144.904,1076250.0
Ascot Vale,58.0,-37.7723,144.9094,292500.0
Ascot Vale,139.0,-37.7821,144.9055,1068750.0
Ascot Vale,232.0,-37.775,144.932,1005000.0
Ascot Vale,117.0,-37.7753,144.9116,716250.0
Ascot Vale,62.0,-37.773,144.9303,324000.0
Ascot Vale,204.0,-37.782,144.903,1230000.0
Ascot Vale,286.0,-37.78,144.9295,1072500.0
Ascot Vale,104.0,-37.7791,144.914,457500.0
Ascot Vale,127.0,-37.7727,144.9136,705000.0
Ascot Vale,110.0,-37.7765,144.9114,667500.0
Ascot Vale,149.0,-37.7742,144.906,885000.0
Ascot Vale,180.0,-37.7757,144.9088,1110000.0
Ascot Vale,132.0,-37.7713,144.9038,648750.0
Ascot Vale,62.0,-37.7733,144.9219,331500.0
Ascot Vale,110.0,-37.7779,144.9133,778125.0
Ascot Vale,160.0,-37.7744,144.9035,787500.0
Ascot Vale,65.0,-37.7749,144.9137,330000.0
Ascot Vale,158.0,-37.7766,144.9187,1072500.0
Ascot Vale,157.0,-37.7774,144.928,847500.0
Ascot Vale,104.0,-37.777,144.9176,851250.0
Ascot Vale,147.0,-37.7778,144.9131,712500.0
Ascot Vale,155.0,-37.7769,144.9138,1008750.0
Ascot Vale,168.0,-37.7727,144.9055,1036125.0
Ascot Vale,172.0,-37.7778,144.9061,705000.0
Ascot Vale,177.0,-37.7778,144.9042,746250.0
Ascot Vale,120.0,-37.7816,144.9217,589500.0
Ascot Vale,108.0,-37.7825,144.9206,528750.0
Ascot Vale,77.0,-37.7807,144.9285,570000.0
Ascot Vale,144.0,-37.7766,144.9277,750000.0
Ascot Vale,166.0,-37.7768,144.9223,978750.0
Ascot Vale,175.0,-37.7762,144.9174,911250.0
Ascot Vale,71.0,-37.7772,144.9118,408750.0
Ashburton,220.0,-37.8673,145.0688,1252500.0
Ashburton,149.0,-37.8666,145.0676,1166250.0
Ashburton,178.0,-37.8699,145.0778,825000.0
Ashburton,112.0,-37.8685,145.0786,1002750.0
Ashburton,145.0,-37.8675,145.0668,1138500.0
Ashburton,101.0,-37.8695,145.084,1282500.0
Ashburton,152.0,-37.8599,145.0815,1241250.0
Ashburton,180.0,-37.86,145.0817,1162500.0
Ashburton,228.0,-37.8742,145.07,1246500.0
Ashburton,145.0,-37.8737,145.0695,1248750.0
Ashburton,110.0,-37.8655,145.0808,675000.0
Ashburton,139.0,-37.8653,145.0897,1125000.0
Ashburton,168.0,-37.8619,145.0879,1372500.0
Ashburton,111.0,-37.8703,145.0774,1061250.0
Ashburton,104.0,-37.872,145.0692,1080000.0
Ashburton,199.0,-37.8693,145.08,937500.0
Ashburton,274.0,-37.8711,145.0746,1395000.0
Ashburton,240.0,-37.8664,145.0772,1342500.0
Ashburton,278.0,-37.8715,145.0688,1462500.0
Ashburton,164.0,-37.8636,145.0903,1237500.0
Ashwood,201.0,-37.8716,145.0999,900000.0
Ashwood,114.0,-37.8694,145.0944,806250.0
Ashwood,203.0,-37.8647,145.1023,1125000.0
Ashwood,110.0,-37.8662,145.109,525000.0
Ashwood,152.0,-37.8621,145.1126,825000.0
Ashwood,90.0,-37.8711,145.1017,517500.0
Ashwood,215.0,-37.8621,145.1021,1223250.0
Ashwood,255.0,-37.8655,145.096,1125000.0
Ashwood,80.0,-37.8696,145.0962,450000.0
Ashwood,192.0,-37.8629,145.1097,930000.0
Ashwood,88.0,-37.8709,145.102,525000.0
Ashwood,86.0,-37.8683,145.1082,832500.0
Ashwood,120.0,-37.858,145.1038,978750.0
Ashwood,85.0,-37.87,145.1103,641250.0
Ashwood,134.0,-37.8655,145.1096,675375.0
Ashwood,198.0,-37.8614,145.1098,900000.0
Ashwood,130.0,-37.8723,145.1089,622500.0
Avondale Heights,118.0,-37.7677,144.8674,637500.0
Avondale Heights,103.0,-37.7634,144.8611,562500.0
Avondale Heights,181.0,-37.77,144.8572,638250.0
Avondale Heights,225.0,-37.7654,144.8655,866250.0
Avondale Heights,120.0,-37.7591,144.8542,510000.0
Avondale Heights,143.0,-37.7632,144.8622,470625.0
Avondale Heights,281.0,-37.7524,144.8714,712500.0
Avondale Heights,106.0,-37.7691,144.8575,528750.0
Avondale Heights,118.0,-37.7642,144.8603,669375.0
Avondale Heights,101.0,-37.756,144.8641,391875.0
Avondale Heights,140.0,-37.7649,144.8633,510000.0
Avondale Heights,117.0,-37.765,144.8578,656250.0
Avondale Heights,150.0,-37.7573,144.8534,571500.0
Avondale Heights,85.0,-37.7608,144.863,308250.0
Avondale Heights,103.0,-37.7607,144.8581,603750.0
Avondale Heights,153.0,-37.7584,144.8568,475500.0
Balaclava,180.0,-37.8668,144.9928,1364250.0
Balaclava,61.0,-37.8731,144.9958,307500.0
Balaclava,120.0,-37.8723,144.9961,761250.0
Balaclava,65.0,-37.8725,144.9952,376875.0
Balaclava,58.0,-37.8742,144.9972,390000.0
Balaclava,61.0,-37.8726,144.9962,331500.0
Balaclava,100.0,-37.8663,144.9948,894750.0
Balaclava,49.0,-37.8678,144.9966,312000.0
Balaclava,59.0,-37.8667,144.9917,355500.0
Balaclava,84.0,-37.874,144.9933,735750.0
Balaclava,159.0,-37.872,144.9909,1267500.0
Balaclava,51.0,-37.8727,144.9969,405000.0
Balwyn,123.0,-37.8094,145.0807,1575000.0
Balwyn,218.0,-37.811,145.0958,1350000.0
Balwyn,129.0,-37.8128,145.0975,941250.0
Balwyn,112.0,-37.8161,145.0812,802500.0
Balwyn,97.0,-37.8124,145.0916,604500.0
Balwyn,166.0,-37.8074,145.0826,1387500.0
Balwyn,110.0,-37.8065,145.065,525000.0
Balwyn,72.0,-37.8162,145.0841,375000.0
Balwyn,252.0,-37.814,145.0966,1593750.0
Balwyn,200.0,-37.8032,145.0693,1350000.0
Balwyn,70.0,-37.8116,145.0724,476250.0
Balwyn,73.0,-37.8144,145.0993,394500.0
Balwyn,150.0,-37.8013,145.0652,678750.0
Balwyn,100.0,-37.8112,145.0881,570000.0
Balwyn,164.0,-37.8125,145.0849,1025250.0
Balwyn,240.0,-37.8042,145.1042,1050000.0
Balwyn,104.0,-37.8122,145.0879,468750.0
Balwyn,79.0,-37.8152,145.0839,345000.0
Balwyn,98.0,-37.8123,145.0821,789750.0
Balwyn,170.0,-37.8106,145.0848,1104000.0
Balwyn,88.0,-37.8134,145.081,565500.0
Balwyn,253.0,-37.8149,145.0747,1641000.0
Balwyn,92.0,-37.8092,145.0789,566250.0
Balwyn,150.0,-37.8147,145.084,487500.0
Balwyn,291.0,-37.8039,145.0631,1500000.0
Balwyn,155.0,-37.8057,145.0825,1425000.0
Balwyn,193.0,-37.8056,145.0688,1312500.0
Balwyn,80.0,-37.812,145.0876,547500.0
Balwyn,190.0,-37.8075,145.1011,1125000.0
Balwyn,115.0,-37.8099,145.0792,1275000.0
Balwyn North,167.0,-37.7966,145.1021,986250.0
Balwyn North,154.0,-37.7939,145.0789,1125000.0
Balwyn North,185.0,-37.7917,145.0868,1428750.0
Balwyn North,215.0,-37.7988,145.0726,1425000.0
Balwyn North,137.0,-37.8002,145.0949,1688250.0
Balwyn North,214.0,-37.7906,145.0788,1653750.0
Balwyn North,160.0,-37.7947,145.1035,948750.0
Balwyn North,185.0,-37.7856,145.0918,1312500.0
Balwyn North,124.0,-37.7862,145.0781,1087500.0
Balwyn North,225.0,-37.7944,145.1028,1368750.0
Balwyn North,144.0,-37.7893,145.092,862500.0
Balwyn North,254.0,-37.8025,145.0843,1387500.0
Balwyn North,275.0,-37.7822,145.0907,1597500.0
Balwyn North,275.0,-37.7843,145.0891,1305000.0
Balwyn North,247.0,-37.783,145.0926,1041600.0
Balwyn North,168.0,-37.7935,145.0865,1275000.0
Balwyn North,188.0,-37.7949,145.1014,922500.0
Balwyn North,232.0,-37.7889,145.0904,1462500.0
Balwyn North,170.0,-37.7907,145.0916,1312500.0
Balwyn North,244.0,-37.796,145.0984,1500000.0
Balwyn North,90.0,-37.7956,145.0829,1363500.0
Balwyn North,170.0,-37.8002,145.0999,1290000.0
Balwyn North,201.0,-37.7835,145.0883,1256250.0
Balwyn North,200.0,-37.7987,145.0788,1260000.0
Balwyn North,250.0,-37.7982,145.0903,1653750.0
Balwyn North,175.0,-37.796,145.0696,1575000.0
Balwyn North,85.0,-37.7935,145.0679,513750.0
Balwyn North,177.0,-37.7846,145.0935,1001250.0
Balwyn North,112.0,-37.7996,145.0959,780000.0
Balwyn North,153.0,-37.7997,145.0993,937500.0
Balwyn North,200.0,-37.7854,145.0869,1406250.0
Balwyn North,198.0,-37.7839,145.0954,1147500.0
Balwyn North,151.0,-37.7895,145.0985,1238250.0
Balwyn North,199.0,-37.7898,145.1021,1170000.0
Balwyn North,144.0,-37.7893,145.092,778500.0
Balwyn North,193.0,-37.7975,145.0961,1245000.0
Balwyn North,147.0,-37.7938,145.0838,1327500.0
Balwyn North,102.0,-37.7938,145.0666,518625.0
Bentleigh,121.0,-37.9273,145.0479,656250.0
Bentleigh,143.0,-37.9311,145.0428,1068750.0
Bentleigh,250.0,-37.9204,145.0443,638250.0
Bentleigh,181.0,-37.9272,145.0406,916875.0
Bentleigh,127.0,-37.9149,145.0254,988125.0
Bentleigh,69.0,-37.9332,145.045,270000.0
Bentleigh,212.0,-37.9278,145.0337,1076250.0
Bentleigh,164.0,-37.9263,145.04,832500.0
Bentleigh,222.0,-37.9134,145.0263,1125000.0
Bentleigh,194.0,-37.9318,145.0474,975000.0
Bentleigh,116.0,-37.9199,145.0477,843750.0
Bentleigh,112.0,-37.9291,145.0472,996000.0
Bentleigh,135.0,-37.9279,145.031,1005000.0
Bentleigh,205.0,-37.9252,145.0494,866250.0
Bentleigh,103.0,-37.9243,145.0376,641250.0
Bentleigh,92.0,-37.9245,145.0336,487500.0
Bentleigh,197.0,-37.9163,145.0324,1395000.0
Bentleigh,100.0,-37.9326,145.0387,543750.0
Bentleigh,108.0,-37.9282,145.0367,969750.0
Bentleigh,245.0,-37.9317,145.0469,996000.0
Bentleigh,255.0,-37.9326,145.0441,935250.0
Bentleigh,143.0,-37.9256,145.0374,1027500.0
Bentleigh,170.0,-37.9286,145.0495,821250.0
Bentleigh,88.0,-37.9173,145.0359,543750.0
Bentleigh,149.0,-37.9317,145.0352,618750.0
Bentleigh,160.0,-37.9289,145.0478,926250.0
Bentleigh,125.0,-37.9315,145.0445,873750.0
Bentleigh,109.0,-37.929,145.0375,615000.0
Bentleigh,168.0,-37.9289,145.0481,1072500.0
Bentleigh,96.0,-37.9178,145.0413,682500.0
Bentleigh,250.0,-37.9144,145.0401,1425000.0
Bentleigh,90.0,-37.9307,145.0379,502500.0
Bentleigh,107.0,-37.9259,145.0341,510000.0
Bentleigh,220.0,-37.9294,145.041,990000.0
Bentleigh,275.0,-37.9181,145.044,1425000.0
Bentleigh,150.0,-37.9148,145.0404,1151250.0
Bentleigh,178.0,-37.9241,145.048,1038750.0
Bentleigh East,125.0,-37.9237,145.0763,618750.0
Bentleigh East,95.0,-37.9255,145.0796,559500.0
Bentleigh East,190.0,-37.9333,145.0602,956250.0
Bentleigh East,120.0,-37.9229,145.0557,768750.0
Bentleigh East,79.0,-37.91,145.0842,371250.0
Bentleigh East,178.0,-37.9167,145.0771,915000.0
Bentleigh East,110.0,-37.9262,145.0808,663750.0
Bentleigh East,141.0,-37.9168,145.069,622500.0
Bentleigh East,222.0,-37.9347,145.0546,907500.0
Bentleigh East,180.0,-37.914,145.0714,870000.0
Bentleigh East,110.0,-37.9119,145.0705,911250.0
Bentleigh East,191.0,-37.9358,145.0688,900000.0
Bentleigh East,140.0,-37.9284,145.0668,787500.0
Bentleigh East,78.0,-37.9212,145.0674,285000.0
Bentleigh East,177.0,-37.9231,145.066,1003500.0
Bentleigh East,150.0,-37.9223,145.0747,488250.0
Bentleigh East,118.0,-37.9256,145.0757,1042500.0
Bentleigh East,163.0,-37.9186,145.0709,825000.0
Bentleigh East,138.0,-37.925,145.0612,904500.0
Bentleigh East,75.0,-37.9082,145.0681,364875.0
Bentleigh East,177.0,-37.9153,145.0707,1061250.0
Bentleigh East,207.0,-37.9245,145.0507,888750.0
Bentleigh East,166.0,-37.9164,145.0765,795000.0
Bentleigh East,145.0,-37.9239,145.0781,633750.0
Bentleigh East,117.0,-37.9227,145.0558,645000.0
Bentleigh East,140.0,-37.9219,145.0733,690750.0
Bentleigh East,135.0,-37.9099,145.0726,556875.0
Bentleigh East,120.0,-37.9303,145.0805,690000.0
Bentleigh East,102.0,-37.9179,145.071,526500.0
Bentleigh East,117.0,-37.9196,145.0691,603750.0
Bentleigh East,190.0,-37.9257,145.0735,825000.0
Bentleigh East,79.0,-37.9293,145.0657,541500.0
Bentleigh East,133.0,-37.9286,145.069,697500.0
Bentleigh East,119.0,-37.919,145.0829,690750.0
Bentleigh East,160.0,-37.9193,145.0691,776250.0
Bentleigh East,196.0,-37.9252,145.0562,1014000.0
Bentleigh East,205.0,-37.9197,145.057,753750.0
Bentleigh East,120.0,-37.9244,145.0665,900000.0
Bentleigh East,126.0,-37.9168,145.0809,585000.0
Bentleigh East,231.0,-37.9299,145.0598,937500.0
Bentleigh East,176.0,-37.9262,145.0624,832500.0
Bentleigh East,165.0,-37.9117,145.0534,1267500.0
Bentleigh East,122.0,-37.9149,145.0788,593250.0
Bentleigh East,140.0,-37.9347,145.0507,675000.0
Bentleigh East,156.0,-37.9176,145.0566,727500.0
Bentleigh East,143.0,-37.9079,145.0707,617250.0
Bentleigh East,190.0,-37.9198,145.0789,783750.0
Bentleigh East,80.0,-37.9079,145.0685,491250.0
Bentleigh East,257.0,-37.9066,145.0541,1162500.0
Bentleigh East,105.0,-37.9087,145.0537,626250.0
Bentleigh East,256.0,-37.9256,145.0533,1098750.0
Bentleigh East,96.0,-37.9241,145.0763,682500.0
Bentleigh East,123.0,-37.9329,145.053,690000.0
Bentleigh East,160.0,-37.9179,145.0592,701250.0
Bentleigh East,163.0,-37.9242,145.0705,732750.0
Bentleigh East,122.0,-37.9113,145.0765,1014000.0
Bentleigh East,160.0,-37.9274,145.0654,836250.0
Bentleigh East,147.0,-37.9232,145.0563,897750.0
Bentleigh East,83.0,-37.9292,145.0708,363750.0
Bentleigh East,151.0,-37.9129,145.0598,1023750.0
Bentleigh East,28.0,-37.9142,145.08,723750.0
Bentleigh East,150.0,-37.9225,145.0754,652500.0
Bentleigh East,168.0,-37.912,145.0752,870750.0
Bentleigh East,146.0,-37.9307,145.0531,949500.0
Bentleigh East,200.0,-37.9272,145.0801,525000.0
Bentleigh East,132.0,-37.9257,145.0811,577500.0
Bentleigh East,99.0,-37.9315,145.0619,285000.0
Bentleigh East,158.0,-37.9281,145.0669,881250.0
Bentleigh East,120.0,-37.916,145.0776,900000.0
Bentleigh East,196.0,-37.9147,145.0751,1027500.0
Bentleigh East,186.0,-37.9289,145.0502,1075125.0
Bentleigh East,131.0,-37.9075,145.061,645000.0
Bentleigh East,114.0,-37.9107,145.0598,536250.0
Bentleigh East,115.0,-37.9212,145.0606,532500.0
Bentleigh East,296.0,-37.9143,145.0699,1162500.0
Bentleigh East,100.0,-37.9286,145.0737,592500.0
Bentleigh East,144.0,-37.9251,145.0771,765000.0
Bentleigh East,122.0,-37.9159,145.0787,664500.0
Bentleigh East,198.0,-37.9374,145.0726,761250.0
Bentleigh East,167.0,-37.9207,145.0757,941250.0
Bentleigh East,94.0,-37.9178,145.067,990000.0
Bentleigh East,133.0,-37.9236,145.0545,652500.0
Bentleigh East,219.0,-37.9351,145.0572,1104375.0
Bentleigh East,118.0,-37.908,145.0716,480000.0
Box Hill,255.0,-37.8151,145.135,1215000.0
Box Hill,81.0,-37.8271,145.1299,483750.0
Box Hill,167.0,-37.8233,145.1267,1170000.0
Box Hill,170.0,-37.8257,145.1216,1286250.0
Box Hill,110.0,-37.8275,145.1298,900000.0
Box Hill,151.0,-37.8258,145.1246,1320000.0
Box Hill,108.0,-37.8167,145.1373,711000.0
Box Hill,65.0,-37.8216,145.127,348750.0
Box Hill,158.0,-37.8282,145.1301,731250.0
Box Hill,134.0,-37.827,145.1209,993750.0
Box Hill,3.0,-37.8287,145.1319,562500.0
Box Hill,159.0,-37.8285,145.1272,1050000.0
Box Hill,106.0,-37.8235,145.1276,1125000.0
Box Hill,195.0,-37.8247,145.1281,1200000.0
Box Hill,235.0,-37.8244,145.1319,1096050.0
Box Hill,108.0,-37.8275,145.1232,581250.0
Box Hill,106.0,-37.8247,145.1206,696000.0
Box Hill,82.0,-37.8234,145.1235,477000.0
Box Hill,95.0,-37.8264,145.1248,877500.0
Box Hill,231.0,-37.8274,145.1242,1252500.0
Box Hill,119.0,-37.8283,145.1195,642750.0
Box Hill,130.0,-37.8154,145.1355,616875.0
Braybrook,75.0,-37.7839,144.8524,483750.0
Braybrook,106.0,-37.785,144.8561,376500.0
Braybrook,124.0,-37.7851,144.8517,371250.0
Braybrook,154.0,-37.7908,144.8485,483750.0
Braybrook,145.0,-37.7865,144.8605,489000.0
Braybrook,240.0,-37.788,144.862,637500.0
Braybrook,98.0,-37.7923,144.852,431250.0
Braybrook,216.0,-37.7763,144.8543,661500.0
Braybrook,135.0,-37.7815,144.855,547500.0
Braybrook,154.0,-37.7908,144.8485,457500.0
Braybrook,90.0,-37.7899,144.8515,522000.0
Braybrook,144.0,-37.7827,144.8625,434250.0
Braybrook,105.0,-37.7905,144.8485,573750.0
Braybrook,104.0,-37.7948,144.854,356250.0
Braybrook,160.0,-37.7775,144.855,412500.0
Braybrook,138.0,-37.7889,144.8465,371250.0
Braybrook,78.0,-37.7844,144.8523,423750.0
Brighton,156.0,-37.9038,145.0001,1226250.0
Brighton,70.0,-37.9081,145.0043,402000.0
Brighton,122.0,-37.9172,144.996,1481250.0
Brighton,137.0,-37.9205,145.0007,1042500.0
Brighton,132.0,-37.9172,145.004,975000.0
Brighton,225.0,-37.918,145.0035,1293750.0
Brighton,209.0,-37.9082,144.9968,1575000.0
Brighton,74.0,-37.9122,145.0038,600000.0
Brighton,135.0,-37.8956,145.0026,1320750.0
Brighton,171.0,-37.9166,144.9942,976875.0
Brighton,92.0,-37.9157,144.9973,669375.0
Brighton,197.0,-37.8954,145.0017,1608750.0
Brighton,74.0,-37.9042,144.9954,465000.0
Brighton,163.0,-37.8943,144.9907,1106250.0
Brighton,111.0,-37.9174,144.9895,1237500.0
Brighton,202.0,-37.9264,145.0044,1171875.0
Brighton,262.0,-37.899,144.9901,1537500.0
Brighton,85.0,-37.9131,144.995,825000.0
Brighton,143.0,-37.8916,145.0017,1237500.0
Brighton,111.0,-37.9154,145.001,1177500.0
Brighton,118.0,-37.9228,144.9996,1338750.0
Brighton,170.0,-37.9153,144.9924,1406250.0
Brighton,116.0,-37.9268,144.991,949500.0
Brighton,40.0,-37.9181,144.993,281250.0
Brighton,80.0,-37.9112,144.9909,567000.0
Brighton,120.0,-37.9254,145.0045,1038750.0
Brighton,75.0,-37.8958,144.9982,643500.0
Brighton,75.0,-37.9156,145.0013,457500.0
Brighton,165.0,-37.9095,145.004,1149000.0
Brighton,2.0,-37.9078,145.0051,777750.0
Brighton,196.0,-37.9228,145.0022,1222500.0
Brighton,74.0,-37.9194,145.0003,503250.0
Brighton,281.0,-37.9237,145.0056,1687500.0
Brighton,110.0,-37.91,144.989,1014375.0
Brighton,195.0,-37.8869,144.9982,1125000.0
Brighton East,240.0,-37.9205,145.0122,1455000.0
Brighton East,268.0,-37.9187,145.007,1387500.0
Brighton East,117.0,-37.9317,145.0218,697500.0
Brighton East,213.0,-37.9162,145.0219,982500.0
Brighton East,126.0,-37.9153,145.0142,1083750.0
Brighton East,274.0,-37.9187,145.0187,1275000.0
Brighton East,228.0,-37.9199,145.0174,1125000.0
Brighton East,182.0,-37.9177,145.0143,1050000.0
Brighton East,245.0,-37.9084,145.0221,1200000.0
Brighton East,119.0,-37.9205,145.0102,1335000.0
Brighton East,90.0,-37.9306,145.0284,581250.0
Brighton East,143.0,-37.9269,145.0274,1110000.0
Brighton East,244.0,-37.931,145.0198,1192500.0
