Suburb,BuildingArea,Latitude,Longitude
Hawthorn,88.0,-37.8268,145.0344
Ormond,75.45,-37.90552,145.03087
Moonee Ponds,129.0,-37.77081,144.92074
Pascoe Vale,94.0,-37.7269,144.9274
West Footscray,64.0,-37.806,144.8674
Brunswick,40.0,-37.762,144.9647
Richmond,68.0,-37.8333,144.998
Footscray,123.0,-37.79047,144.88289
Kew East,72.0,-37.7972,145.05225
Hawthorn,122.0,-37.8243,145.0328
Dandenong,109.0,-37.98046,145.20487
Footscray,93.0,-37.7959,144.8863
Craigieburn,106.0,-37.57286,144.90412
Glenroy,116.0,-37.7019,144.9225
Fitzroy,57.0,-37.80348,144.98257
Templestowe Lower,208.0,-37.75616,145.10615
Hampton,184.0,-37.9315,145.0109
Prahran,108.0,-37.8501,144.9995
Clayton South,123.0,-37.94122,145.10924
Hawthorn East,159.0,-37.82644,145.04792
Ringwood North,131.0,-37.79259,145.22801
Northcote,125.0,-37.77664,144.99902
Moorabbin,214.0,-37.9398,145.0554
Heidelberg,68.0,-37.7502,145.069
Craigieburn,229.0,-37.58047,144.90524
Mulgrave,130.0,-37.92632,145.17978
Hoppers Crossing,109.0,-37.86608,144.68721
Collingwood,82.0,-37.7961,144.9873
Kew,230.0,-37.7982,145.0281
Preston,107.0,-37.73226,145.0146
Sandringham,166.0,-37.95326,145.01779
West Footscray,199.0,-37.8053,144.8681
Brunswick,124.0,-37.77296,144.9562
Flemington,84.0,-37.7823,144.9278
Bentleigh East,150.0,-37.9225,145.0754
Hughesdale,170.0,-37.9016,145.08294
Balwyn,88.0,-37.8134,145.081
Notting Hill,167.0,-37.90779,145.15042
Brunswick West,66.0,-37.7741,144.9449
St Kilda,97.0,-37.8658,144.9774
Highett,180.0,-37.9461,145.02432
Doncaster East,199.0,-37.7738,145.16712
Hampton East,131.0,-37.94087,145.03366
Preston,117.0,-37.7346,145.0164
Warrandyte,300.0,-37.7447,145.1988
Carnegie,67.0,-37.8893,145.0589
Craigieburn,189.0,-37.578,144.93654
Brunswick,152.0,-37.7788,144.9688
Middle Park,113.0,-37.84804,144.96066
Oakleigh South,118.0,-37.9303,145.082
Pascoe Vale,91.0,-37.7282,144.928
Malvern East,146.0,-37.8683,145.03909
Hillside,159.0,-37.68944,144.74707
Coburg,190.0,-37.75383,144.97812
Lalor,184.0,-37.6653,145.0211
Travancore,192.0,-37.7778,144.9346
Bayswater,69.0,-37.845,145.25624
Burwood,120.0,-37.8509,145.1119
Hoppers Crossing,180.0,-37.86495,144.69719
Seddon,92.0,-37.80868,144.88483
Craigieburn,165.0,-37.57307,144.92513
Bulleen,190.0,-37.7683,145.0959
Yarraville,157.0,-37.8197,144.8969
South Yarra,109.0,-37.82863,144.98514
Yarraville,90.0,-37.82218,144.89165
Brunswick East,96.0,-37.7761,144.975
Wheelers Hill,163.0,-37.92024,145.18049
Burwood,130.0,-37.8516,145.1056
Hawthorn,148.0,-37.8169,145.0234
Croydon,201.0,-37.77519,145.29741
Ascot Vale,256.0,-37.7773,144.9119
Thornbury,180.0,-37.75982,145.0045
Armadale,150.0,-37.8614,145.0274
Cheltenham,164.0,-37.95746,145.06888
Wantirna South,71.0,-37.87615,145.23192
Williamstown,120.0,-37.8526,144.895
Oakleigh South,89.0,-37.9112,145.0873
Niddrie,210.0,-37.74103,144.8851
Newport,176.0,-37.8395,144.8787
Chadstone,182.0,-37.8742,145.105
Brunswick East,159.0,-37.7671,144.9762
Ashburton,230.0,-37.86516,145.07958
Keilor Park,107.0,-37.7212,144.8545
Murrumbeena,94.0,-37.8936,145.0725
Yarraville,116.0,-37.8134,144.8745
East Melbourne,46.0,-37.8136,144.9892
Maribyrnong,212.0,-37.76485,144.88545
Maidstone,107.0,-37.7813,144.8678
Yarraville,103.0,-37.8149,144.8707
Murrumbeena,109.0,-37.8936,145.0709
Brunswick,117.0,-37.7603,144.9573
Heathmont,129.0,-37.82536,145.24893
Brunswick East,70.0,-37.7755,144.9786
Footscray,80.0,-37.7936,144.8905
Hampton,61.0,-37.9436,145.0027
Greensborough,114.0,-37.71139,145.09994
Armadale,63.0,-37.85549,145.0163
Mill Park,189.0,-37.6682,145.0515
Donvale,252.0,-37.78148,145.17818
Craigieburn,104.0,-37.59706,144.94012
Armadale,76.0,-37.8543,145.0262
Brunswick,165.0,-37.76101,144.96948
Airport West,116.0,-37.7273,144.8744
Montmorency,102.0,-37.72266,145.12172
Hawthorn East,44.0,-37.8338,145.0545
Fitzroy North,85.2,-37.7793,144.9879
Glenroy,175.0,-37.70317,144.91396
Prahran,135.0,-37.85277,145.00129
Canterbury,92.0,-37.8205,145.0828
Albion,110.0,-37.77856,144.82443
Brunswick,130.0,-37.7597,144.9545
Fitzroy,101.0,-37.7968,144.9781
Werribee,229.0,-37.90721,144.65636
Essendon West,114.0,-37.75403,144.8867
West Melbourne,154.0,-37.8094,144.9452
Forest Hill,139.0,-37.8451,145.1805
Brighton East,130.0,-37.9266,145.0088
Kealba,125.0,-37.73522,144.82044
Templestowe Lower,195.0,-37.7595,145.1176
Point Cook,126.0,-37.91375,144.76608
Newport,184.0,-37.83864,144.87794
Mont Albert,207.0,-37.8195,145.1134
Yarraville,65.0,-37.8128,144.8953
Epping,152.0,-37.65801,145.02683
Beaumaris,251.0,-37.97677,145.03506
Windsor,90.0,-37.8582,144.9979
Oakleigh South,243.0,-37.91917,145.08807
Fairfield,280.0,-37.7671,145.0176
Bentleigh,168.0,-37.9289,145.0481
Brunswick East,78.0,-37.76812,144.97414
Kings Park,161.0,-37.72819,144.76642
Heidelberg West,77.0,-37.7443,145.0462
Kew,248.0,-37.7974,145.0337
Doncaster East,239.0,-37.79751,145.14706
Brunswick West,77.0,-37.7622,144.9406
Templestowe Lower,134.0,-37.7569,145.1179
Highett,302.0,-37.94964,145.02753
Maribyrnong,294.0,-37.7634,144.8859
Bentleigh East,99.0,-37.92066,145.0669
Altona,113.0,-37.8684,144.815
Gardenvale,75.0,-37.8994,145.0101
Collingwood,78.0,-37.79812,144.98873
Ormond,209.0,-37.90416,145.02792
Coburg,107.0,-37.73999,144.95141
East Melbourne,60.0,-37.81177,144.97617
Brunswick,120.0,-37.759,144.9597
Alphington,131.0,-37.7802,145.0243
Coburg,93.0,-37.7429,144.952
Sunshine West,159.0,-37.7962,144.8064
Bundoora,139.0,-37.70042,145.0614
Hadfield,111.0,-37.71147,144.93927
Brighton East,106.0,-37.91106,145.02394
Brunswick,108.0,-37.77588,144.95736
Gardenvale,230.0,-37.8988,145.0098
Coburg,86.0,-37.7367,144.9701
Clifton Hill,118.0,-37.7921,144.9858
Richmond,118.0,-37.8247,145.0001
Templestowe,217.0,-37.75785,145.13593
West Footscray,112.0,-37.80139,144.86458
Balwyn North,168.0,-37.7935,145.0865
Thornbury,133.0,-37.75506,145.01841
Forest Hill,137.0,-37.84006,145.16568
Box Hill,158.0,-37.8282,145.1301
Preston,123.0,-37.74739,145.00934
Glenroy,153.0,-37.71016,144.9215
Port Melbourne,90.0,-37.8361,144.9403
Seddon,218.0,-37.8078,144.8846
Moonee Ponds,143.0,-37.7682,144.9058
Brunswick West,180.0,-37.75465,144.94144
Spotswood,109.0,-37.82894,144.88265
Bentleigh East,175.0,-37.91327,145.07917
Moonee Ponds,261.0,-37.7625,144.9074
Oak Park,127.0,-37.71679,144.90901
Burwood East,149.0,-37.85144,145.14736
Carnegie,133.0,-37.90017,145.05812
Craigieburn,107.0,-37.5896,144.9315
Kew,90.0,-37.79413,145.02382
Bentleigh East,177.0,-37.9231,145.066
Abbotsford,130.0,-37.80359,144.99538
Armadale,128.0,-37.85425,145.01545
Port Melbourne,105.0,-37.83661,144.93359
Elsternwick,138.0,-37.89061,145.01257
Burnley,177.0,-37.82922,145.00837
Brunswick East,151.0,-37.7601,144.9805
Bentleigh East,140.0,-37.92498,145.06907
Prahran,92.0,-37.8496,144.9905
Preston,129.0,-37.7443,145.0015
Brighton East,99.0,-37.90272,145.01869
Hawthorn East,64.0,-37.8254,145.0474
Yarraville,135.0,-37.8148,144.88115
St Kilda,49.0,-37.87223,144.98046
Avondale Heights,110.0,-37.76063,144.8603
Newport,172.0,-37.84525,144.87405
Newport,138.0,-37.8352,144.8661
Essendon,59.0,-37.7482,144.908
Yallambie,129.0,-37.731,145.0811
Prahran,79.0,-37.8479,144.9988
Thornbury,62.0,-37.7634,145.021
Craigieburn,119.0,-37.59312,144.93182
Hampton East,188.0,-37.93582,145.02845
Bellfield,102.0,-37.75017,145.03497
Ascot Vale,58.0,-37.7723,144.9094
Melbourne,85.0,-37.8095,144.9691
Carlton,81.0,-37.7984,144.9738
Eaglemont,180.0,-37.7666,145.0591
Glenroy,106.0,-37.7001,144.9291
Coburg,98.0,-37.734,144.9603
Footscray,228.0,-37.7963,144.8862
Carnegie,46.0,-37.8858,145.0632
South Melbourne,153.0,-37.8355,144.951
Vermont,119.0,-37.84034,145.2022
Brighton,110.0,-37.91,144.989
St Kilda,67.0,-37.8642,144.9793
Ferntree Gully,177.0,-37.89508,145.27879
Craigieburn,196.1,-37.59943,144.91439
Bentleigh,158.0,-37.92868,145.0314
Craigieburn,110.0,-37.61114,144.93683
Glenroy,92.0,-37.70175,144.93578
Canterbury,148.0,-37.8264,145.0741
Craigieburn,219.0,-37.57287,144.91884
Glenroy,130.0,-37.7002,144.9232
Sunshine West,110.0,-37.80276,144.81409
Footscray,93.0,-37.7966,144.9016
Ivanhoe,115.0,-37.7645,145.0314
Northcote,143.0,-37.7799,144.9937
Coburg,146.0,-37.7501,144.962
Sunshine,181.0,-37.7864,144.8353
South Melbourne,56.0,-37.8341,144.9713
Sunshine,162.0,-37.79017,144.83813
Fairfield,230.0,-37.77226,145.02019
Roxburgh Park,0.0,-37.62352,144.93133
Sunshine West,110.0,-37.80118,144.80996
Mitcham,166.0,-37.80961,145.1847
Ormond,88.0,-37.90286,145.04772
Braybrook,105.0,-37.7905,144.8485
Coburg North,95.0,-37.7351,144.9833
Richmond,89.0,-37.82201,145.0104
Parkville,186.0,-37.7944,144.9542
Sunshine West,105.0,-37.80046,144.82676
Thomastown,121.0,-37.6819,145.02294
Bundoora,212.0,-37.69186,145.05017
Yallambie,232.0,-37.7327,145.0804
Moorabbin,133.0,-37.9435,145.0522
Coburg,118.0,-37.7561,144.9715
Ardeer,112.0,-37.77245,144.8001
Preston,135.5,-37.75335,145.01642
Richmond,50.0,-37.8331,144.9975
Malvern,132.0,-37.8511,145.0317
Cremorne,165.0,-37.8278,144.9885
Balwyn,112.0,-37.8161,145.0812
Fairfield,77.0,-37.7682,145.0209
Sunshine,107.0,-37.7905,144.8359
Point Cook,227.6,-37.89467,144.72018
Mentone,166.0,-37.98087,145.06024
Dallas,93.0,-37.66686,144.93747
Kew,102.0,-37.794,145.033
Essendon,183.0,-37.7544,144.9325
Brighton,95.0,-37.90914,145.00477
Yarraville,80.0,-37.81133,144.89553
Ivanhoe,208.0,-37.7652,145.041
Northcote,137.0,-37.7662,144.9889
Seddon,132.0,-37.8057,144.8857
Albert Park,123.0,-37.8427,144.9546
Kensington,90.0,-37.7937,144.9295
Footscray,168.0,-37.8001,144.8797
Ascot Vale,120.0,-37.7816,144.9217
Kingsbury,153.0,-37.7125,145.0306
Footscray,94.5,-37.78872,144.88891
Mill Park,122.0,-37.65116,145.05439
Nunawading,136.0,-37.82865,145.18624
Fawkner,88.0,-37.695,144.9676
Balwyn North,247.0,-37.783,145.0926
Essendon,137.0,-37.7543,144.9318
Lalor,120.0,-37.67414,145.0205
Clayton,96.0,-37.9255,145.11331
Craigieburn,98.0,-37.57452,144.91706
Bayswater,140.0,-37.84823,145.26673
Ashburton,220.0,-37.8673,145.0688
Essendon,104.0,-37.7457,144.9061
South Yarra,45.0,-37.8355,144.9884
Balwyn,291.0,-37.8039,145.0631
Ashwood,59.0,-37.8677,145.0981
Dingley Village,189.0,-37.98217,145.14061
Murrumbeena,45.0,-37.89022,145.07333
Brighton East,222.0,-37.90708,145.02531
Elwood,62.0,-37.8831,144.9896
Templestowe Lower,90.0,-37.7564,145.1195
Broadmeadows,90.0,-37.68489,144.9212
Essendon,165.0,-37.7417,144.8961
Croydon,93.0,-37.79588,145.29166
Seddon,149.0,-37.807,144.898
Doncaster East,149.0,-37.78496,145.14659
Yarraville,89.0,-37.82067,144.87725
St Kilda,192.0,-37.8641,144.9739
Caulfield South,185.0,-37.89918,145.01679
Attwood,269.0,-37.6712,144.87911
Templestowe Lower,250.0,-37.77033,145.1214
West Footscray,95.0,-37.79613,144.86742
Blackburn,287.0,-37.82942,145.16714
Malvern,72.9,-37.86824,145.03504
Fawkner,120.0,-37.7172,144.968
Brunswick,129.0,-37.7737,144.965
Seddon,81.0,-37.81,144.8896
Williamstown,139.0,-37.8664,144.9072
Elsternwick,145.0,-37.8857,145.0011
Williamstown,191.0,-37.8566,144.8737
Altona,88.0,-37.86066,144.82013
Maidstone,185.0,-37.7833,144.8817
Essendon,181.0,-37.75451,144.92179
Brunswick East,79.0,-37.7784,144.97404
Yarraville,125.0,-37.81111,144.88759
Thornbury,71.0,-37.7583,145.0174
Glen Iris,65.0,-37.85,145.0461
Hoppers Crossing,108.0,-37.85095,144.67452
Hampton,147.0,-37.93753,145.0102
Sandringham,273.0,-37.95185,145.01859
Coburg North,120.0,-37.7308,144.9832
Ormond,91.0,-37.9011,145.0474
Hawthorn,51.0,-37.8208,145.0456
Port Melbourne,71.0,-37.8393,144.93858
Richmond,115.0,-37.814,145.006
Essendon,105.0,-37.7578,144.9317
Travancore,51.0,-37.7847,144.9383
West Footscray,125.0,-37.8066,144.8666
