Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Regionname,Propertycount,Price_USD
Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18/06/2016,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra City Council,-37.8079,144.9977,Northern Metropolitan,4019.0,825000.0
Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19/11/2016,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra City Council,-37.808,144.994,Northern Metropolitan,4019.0,986250.0
Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22/08/2016,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,4019.0,1085625.0
Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22/08/2016,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,4019.0,851250.0
Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019.0,967500.0
Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27/11/2016,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,4019.0,885000.0
Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27/11/2016,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra City Council,-37.8022,144.9954,Northern Metropolitan,4019.0,896250.0
Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28/05/2016,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019.0,759375.0
Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30/07/2016,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,4019.0,772500.0
Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,3/12/2016,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0,547500.0
Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,4/03/2017,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0,577500.0
Airport West,23 Hart St,2,h,603000.0,S,Nelson,4/03/2017,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan,3464.0,452250.0
Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,4/03/2017,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,3464.0,450000.0
Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,6/08/2016,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,,Moonee Valley City Council,-37.7259,144.8792,Western Metropolitan,3464.0,588750.0
Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,7/05/2016,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan,3464.0,543750.0
Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,10/09/2016,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan,3464.0,671250.0
Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10/12/2016,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan,3464.0,603750.0
Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16/04/2016,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464.0,622500.0
Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16/07/2016,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan,3464.0,506250.0
Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,16/07/2016,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,3464.0,781500.0
Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,18/03/2017,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,3464.0,607500.0
Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,18/03/2017,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan,3464.0,536250.0
Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22/05/2016,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464.0,513750.0
Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,27/11/2016,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,3464.0,675000.0
Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,3/09/2016,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3280.0,956250.0
Albert Park,94 Graham St,3,h,1850000.0,S,Greg,4/03/2017,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan,3280.0,1387500.0
Albert Park,396 Montague St,2,h,1436000.0,S,RT,4/03/2017,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan,3280.0,1077000.0
Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,7/11/2016,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan,3280.0,1350000.0
Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,10/09/2016,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan,3280.0,1350000.0
Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,12/06/2016,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip City Council,-37.8451,144.9511,Southern Metropolitan,3280.0,1027500.0
Albert Park,65 Graham St,2,h,1322500.0,S,Greg,15/10/2016,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan,3280.0,991875.0
Albert Park,364 Montague St,2,h,1562500.0,S,Greg,15/10/2016,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan,3280.0,1171875.0
Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,28/08/2016,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan,3280.0,1305000.0
Alphington,44 Shiers St,4,h,1717500.0,S,Collins,8/10/2016,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin City Council,-37.7717,145.031,Northern Metropolitan,2211.0,1288125.0
Alphington,10 Bennett St,4,h,1830000.0,S,Nelson,19/11/2016,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin City Council,-37.7743,145.0316,Northern Metropolitan,2211.0,1372500.0
Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,22/05/2016,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin City Council,-37.7802,145.0243,Northern Metropolitan,2211.0,648750.0
Alphington,42 Shiers St,4,h,1950000.0,S,Jellis,30/07/2016,6.4,3078.0,4.0,2.0,3.0,589.0,210.0,1920.0,Darebin City Council,-37.7719,145.0309,Northern Metropolitan,2211.0,1462500.0
Altona,4 Blyth St,3,h,1120000.0,S,Barlow,4/03/2017,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay City Council,-37.8693,144.8375,Western Metropolitan,5301.0,840000.0
Altona,29 Rose St,4,h,1780000.0,SP,Greg,4/06/2016,13.8,3018.0,4.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay City Council,-37.8681,144.819,Western Metropolitan,5301.0,1335000.0
Altona,156 Maidstone St,3,h,660000.0,VB,Greg,7/05/2016,13.8,3018.0,3.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay City Council,-37.8616,144.8116,Western Metropolitan,5301.0,495000.0
Altona,24 Wren St,4,h,845000.0,S,hockingstuart,11/02/2017,13.8,3018.0,4.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay City Council,-37.8658,144.8155,Western Metropolitan,5301.0,633750.0
Altona,22 Fenfield St,3,h,678000.0,S,hockingstuart,16/04/2016,13.8,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan,5301.0,508500.0
Altona,27 McIntyre Dr,3,h,840000.0,SP,Greg,18/03/2017,13.8,3018.0,3.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay City Council,-37.86,144.8245,Western Metropolitan,5301.0,630000.0
Altona,104 Maidstone St,2,h,857000.0,SP,hockingstuart,27/11/2016,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay City Council,-37.8653,144.8129,Western Metropolitan,5301.0,642750.0
Altona,2/60 David St,2,h,535600.0,SP,Compton,30/07/2016,13.8,3018.0,2.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay City Council,-37.8646,144.8272,Western Metropolitan,5301.0,401700.0
Altona North,4 Knapp St,3,h,781000.0,S,Jas,3/09/2016,11.1,3025.0,3.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay City Council,-37.8291,144.835,Western Metropolitan,5132.0,585750.0
Altona North,33 Carthy St,3,h,683000.0,S,FN,4/06/2016,11.1,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,Hobsons Bay City Council,-37.8284,144.8355,Western Metropolitan,5132.0,512250.0
Altona North,1/5 Little St,3,h,720000.0,VB,Greg,6/08/2016,11.1,3025.0,3.0,2.0,1.0,0.0,130.0,2012.0,Hobsons Bay City Council,-37.8379,144.8583,Western Metropolitan,5132.0,540000.0
Altona North,1/95 Mills St,3,h,588000.0,S,Williams,7/05/2016,11.1,3025.0,3.0,1.0,1.0,328.0,118.0,1970.0,Hobsons Bay City Council,-37.838,144.8555,Western Metropolitan,5132.0,441000.0
Altona North,5 Binns St,3,h,710000.0,PI,Village,7/11/2016,11.1,3025.0,3.0,1.0,3.0,540.0,116.0,1960.0,Hobsons Bay City Council,-37.8294,144.8378,Western Metropolitan,5132.0,532500.0
Altona North,25 Allan St,4,h,875000.0,SP,Jas,8/10/2016,11.1,3025.0,3.0,1.0,4.0,559.0,169.0,1965.0,Hobsons Bay City Council,-37.8448,144.8529,Western Metropolitan,5132.0,656250.0
Altona North,2/36 May St,3,h,675000.0,S,hockingstuart,14/05/2016,11.1,3025.0,3.0,2.0,2.0,171.0,109.0,2012.0,Hobsons Bay City Council,-37.8337,144.8554,Western Metropolitan,5132.0,506250.0
Altona North,11 Beevers St,3,h,708000.0,S,Greg,15/10/2016,11.1,3025.0,3.0,1.0,2.0,585.0,97.0,1960.0,Hobsons Bay City Council,-37.8258,144.8523,Western Metropolitan,5132.0,531000.0
Altona North,252 Millers Rd,4,h,693000.0,SP,Raine&Horne,22/05/2016,11.1,3025.0,4.0,2.0,4.0,315.0,170.0,2008.0,Hobsons Bay City Council,-37.8391,144.8467,Western Metropolitan,5132.0,519750.0
Altona North,1/156 Chambers Rd,3,h,620000.0,SP,Hunter,22/08/2016,11.1,3025.0,5.0,2.0,2.0,276.0,100.0,2010.0,Hobsons Bay City Council,-37.8262,144.8443,Western Metropolitan,5132.0,465000.0
Altona North,2 Gadsden St,3,h,728500.0,S,Jas,22/08/2016,11.1,3025.0,3.0,1.0,1.0,531.0,157.0,1960.0,Hobsons Bay City Council,-37.8277,144.8385,Western Metropolitan,5132.0,546375.0
Altona North,24 Hansen St,3,h,931000.0,S,hockingstuart,22/08/2016,11.1,3025.0,3.0,2.0,1.0,590.0,160.0,1950.0,Hobsons Bay City Council,-37.8382,144.8649,Western Metropolitan,5132.0,698250.0
Altona North,6 Hill St,3,h,815000.0,S,hockingstuart,25/02/2017,11.1,3025.0,3.0,2.0,3.0,555.0,130.0,1960.0,Hobsons Bay City Council,-37.8318,144.8388,Western Metropolitan,5132.0,611250.0
Altona North,5 Cresser St,4,h,1200000.0,SP,RT,27/11/2016,11.1,3025.0,4.0,1.0,4.0,633.0,158.0,1960.0,Hobsons Bay City Council,-37.8375,144.8541,Western Metropolitan,5132.0,900000.0
Armadale,7 Llaneast St,3,h,1939000.0,S,Jellis,3/12/2016,6.3,3143.0,3.0,2.0,2.0,296.0,150.0,1889.0,Stonnington City Council,-37.8614,145.0274,Southern Metropolitan,4836.0,1454250.0
Armadale,28 Cambridge St,3,h,1870000.0,S,Hodges,4/03/2017,6.3,3143.0,3.0,1.0,1.0,217.0,116.0,1888.0,Stonnington City Council,-37.8592,145.0182,Southern Metropolitan,4836.0,1402500.0
Armadale,10 William St,1,h,1435000.0,SP,Jellis,8/10/2016,6.3,3143.0,2.0,2.0,1.0,144.0,107.0,1900.0,Stonnington City Council,-37.8564,145.0228,Southern Metropolitan,4836.0,1076250.0
Armadale,40 New St,2,h,1210000.0,S,Marshall,12/11/2016,6.3,3143.0,2.0,1.0,0.0,249.0,96.0,1910.0,Stonnington City Council,-37.8543,145.016,Southern Metropolitan,4836.0,907500.0
Armadale,791 High St,3,h,1800000.0,PI,RT,15/10/2016,6.3,3143.0,3.0,2.0,2.0,405.0,121.0,1910.0,Stonnington City Council,-37.8545,145.0145,Southern Metropolitan,4836.0,1350000.0
Armadale,14 New St,3,h,1300000.0,VB,Jellis,18/06/2016,6.3,3143.0,2.0,1.0,2.0,212.0,106.0,1900.0,Stonnington City Council,-37.8542,145.0149,Southern Metropolitan,4836.0,975000.0
Armadale,63 Denbigh Rd,3,h,1900000.0,S,Marshall,22/05/2016,6.3,3143.0,3.0,1.0,2.0,328.0,108.0,1900.0,Stonnington City Council,-37.8559,145.0158,Southern Metropolitan,4836.0,1425000.0
Armadale,75 Sutherland Rd,3,h,1285000.0,S,Marshall,25/02/2017,6.3,3143.0,3.0,1.0,2.0,186.0,80.0,1920.0,Stonnington City Council,-37.8554,145.0173,Southern Metropolitan,4836.0,963750.0
Ascot Vale,30 Rothwell St,3,h,940000.0,S,Nelson,3/12/2016,5.9,3032.0,3.0,1.0,2.0,298.0,108.0,1920.0,Moonee Valley City Council,-37.7777,144.9195,Western Metropolitan,6567.0,705000.0
Ascot Vale,7 Francis St,3,h,1380000.0,SP,Nelson,4/03/2017,5.9,3032.0,3.0,2.0,2.0,277.0,174.0,1910.0,Moonee Valley City Council,-37.7777,144.9221,Western Metropolitan,6567.0,1035000.0
Ascot Vale,98 Epsom Rd,3,h,971000.0,SP,Nelson,4/06/2016,5.9,3032.0,3.0,2.0,2.0,285.0,128.0,1900.0,Moonee Valley City Council,-37.775,144.9091,Western Metropolitan,6567.0,728250.0
Ascot Vale,8 Geddes St,2,h,710000.0,PI,Nelson,4/06/2016,5.9,3032.0,2.0,1.0,1.0,214.0,77.0,1890.0,Moonee Valley City Council,-37.7776,144.9142,Western Metropolitan,6567.0,532500.0
Ascot Vale,119 Roseberry St,2,h,750000.0,SP,Maddison,4/06/2016,5.9,3032.0,2.0,1.0,1.0,226.0,92.0,1920.0,Moonee Valley City Council,-37.7745,144.9093,Western Metropolitan,6567.0,562500.0
Ascot Vale,10 Fenton St,2,h,1053000.0,S,Nelson,6/08/2016,5.9,3032.0,2.0,1.0,1.0,269.0,109.0,1900.0,Moonee Valley City Council,-37.7748,144.929,Western Metropolitan,6567.0,789750.0
Ascot Vale,10 McCully St,3,h,1377000.0,S,Nelson,6/08/2016,5.9,3032.0,3.0,1.0,1.0,417.0,168.0,1900.0,Moonee Valley City Council,-37.7756,144.9208,Western Metropolitan,6567.0,1032750.0
Ascot Vale,120 Epsom Rd,3,h,970000.0,S,Brad,7/05/2016,5.9,3032.0,3.0,1.0,2.0,350.0,125.0,1904.0,Moonee Valley City Council,-37.7759,144.91,Western Metropolitan,6567.0,727500.0
Ascot Vale,63 Kent St,2,h,751000.0,PI,Nelson,7/05/2016,5.9,3032.0,2.0,1.0,1.0,118.0,79.0,1890.0,Moonee Valley City Council,-37.7807,144.9288,Western Metropolitan,6567.0,563250.0
Ascot Vale,4 The Parade,2,h,950000.0,SP,Raine,7/05/2016,5.9,3032.0,2.0,1.0,1.0,173.0,102.0,1900.0,Moonee Valley City Council,-37.7731,144.9206,Western Metropolitan,6567.0,712500.0
Ascot Vale,41 Monash St,3,h,1230000.0,S,Nelson,8/10/2016,5.9,3032.0,4.0,1.0,2.0,594.0,148.0,1960.0,Moonee Valley City Council,-37.7819,144.9064,Western Metropolitan,6567.0,922500.0
Ascot Vale,51 Francis St,2,h,770000.0,PI,Nelson,10/09/2016,5.9,3032.0,2.0,1.0,1.0,226.0,87.0,1900.0,Moonee Valley City Council,-37.7774,144.9186,Western Metropolitan,6567.0,577500.0
Ascot Vale,12 Mirams St,4,h,890000.0,SP,Raine,10/12/2016,5.9,3032.0,4.0,1.0,1.0,300.0,185.0,1890.0,Moonee Valley City Council,-37.7766,144.9143,Western Metropolitan,6567.0,667500.0
Ascot Vale,78 The Parade,3,h,1440000.0,S,Nelson,11/02/2017,5.9,3032.0,3.0,1.0,1.0,487.0,131.0,1900.0,Moonee Valley City Council,-37.7725,144.9146,Western Metropolitan,6567.0,1080000.0
Ascot Vale,26 Newsom St,3,h,1000000.0,PI,Brad,12/11/2016,5.9,3032.0,3.0,2.0,2.0,440.0,120.0,1955.0,Moonee Valley City Council,-37.7746,144.9031,Western Metropolitan,6567.0,750000.0
Ascot Vale,8 Pentland St,3,h,1435000.0,S,Nelson,12/11/2016,5.9,3032.0,3.0,2.0,2.0,532.0,147.0,1950.0,Moonee Valley City Council,-37.7737,144.904,Western Metropolitan,6567.0,1076250.0
Ascot Vale,52 Monash St,3,h,1425000.0,PI,Jellis,13/08/2016,5.9,3032.0,3.0,2.0,2.0,495.0,139.0,1920.0,Moonee Valley City Council,-37.7821,144.9055,Western Metropolitan,6567.0,1068750.0
Ascot Vale,70 Munro St,3,h,955000.0,S,Brad,14/05/2016,5.9,3032.0,3.0,1.0,1.0,263.0,117.0,1910.0,Moonee Valley City Council,-37.7753,144.9116,Western Metropolitan,6567.0,716250.0
Ascot Vale,125 Epsom Rd,4,h,1100000.0,VB,Nelson,15/10/2016,5.9,3032.0,4.0,2.0,5.0,559.0,195.0,1920.0,Moonee Valley City Council,-37.7791,144.9136,Western Metropolitan,6567.0,825000.0
Ascot Vale,7 Angler Pde,4,h,1640000.0,S,Raine,16/04/2016,5.9,3032.0,4.0,3.0,2.0,562.0,204.0,1890.0,Moonee Valley City Council,-37.782,144.903,Western Metropolitan,6567.0,1230000.0
Ascot Vale,57 The Parade,3,h,940000.0,S,Nelson,16/04/2016,5.9,3032.0,3.0,3.0,1.0,491.0,127.0,1950.0,Moonee Valley City Council,-37.7727,144.9136,Western Metropolitan,6567.0,705000.0
Ascot Vale,62 Mirams St,3,h,890000.0,SP,Brad,16/07/2016,5.9,3032.0,3.0,1.0,1.0,242.0,110.0,1920.0,Moonee Valley City Council,-37.7765,144.9114,Western Metropolitan,6567.0,667500.0
Ascot Vale,67 Hurtle St,3,h,1180000.0,SP,Brad,17/09/2016,5.9,3032.0,3.0,2.0,2.0,617.0,149.0,1930.0,Moonee Valley City Council,-37.7742,144.906,Western Metropolitan,6567.0,885000.0
Ascot Vale,95 Walter St,4,h,1480000.0,S,Raine,17/09/2016,5.9,3032.0,4.0,2.0,2.0,597.0,180.0,1939.0,Moonee Valley City Council,-37.7757,144.9088,Western Metropolitan,6567.0,1110000.0
Ascot Vale,21A Geddes St,3,h,1037500.0,S,Alexkarbon,19/11/2016,5.9,3032.0,3.0,1.0,2.0,506.0,110.0,1920.0,Moonee Valley City Council,-37.7779,144.9133,Western Metropolitan,6567.0,778125.0
Ascot Vale,43 Bloomfield Rd,4,h,1430000.0,S,Nelson,22/05/2016,5.9,3032.0,4.0,2.0,0.0,418.0,158.0,1900.0,Moonee Valley City Council,-37.7766,144.9187,Western Metropolitan,6567.0,1072500.0
Ascot Vale,21 Middle St,3,h,1130000.0,S,Nelson,23/04/2016,5.9,3032.0,3.0,2.0,1.0,272.0,157.0,1900.0,Moonee Valley City Council,-37.7774,144.928,Western Metropolitan,6567.0,847500.0
Ascot Vale,78 Francis St,3,h,1135000.0,S,Brad,24/09/2016,5.9,3032.0,3.0,1.0,1.0,296.0,104.0,1910.0,Moonee Valley City Council,-37.777,144.9176,Western Metropolitan,6567.0,851250.0
Ascot Vale,25 Geddes St,4,h,950000.0,PI,Nelson,24/09/2016,5.9,3032.0,4.0,2.0,1.0,298.0,147.0,1920.0,Moonee Valley City Council,-37.7778,144.9131,Western Metropolitan,6567.0,712500.0
Ascot Vale,15 Mirams St,4,h,1345000.0,S,Jellis,25/02/2017,5.9,3032.0,4.0,1.0,1.0,552.0,155.0,1920.0,Moonee Valley City Council,-37.7769,144.9138,Western Metropolitan,6567.0,1008750.0
Ascot Vale,44 Walter St,3,h,1381500.0,S,Barry,25/02/2017,5.9,3032.0,3.0,2.0,2.0,416.0,168.0,1900.0,Moonee Valley City Council,-37.7727,144.9055,Western Metropolitan,6567.0,1036125.0
Ascot Vale,25 Dalgety Dr,3,h,940000.0,S,Jellis,26/07/2016,5.9,3032.0,3.0,2.0,2.0,285.0,172.0,2011.0,Moonee Valley City Council,-37.7778,144.9061,Western Metropolitan,6567.0,705000.0
Ascot Vale,7 Dalgety Dr,3,h,995000.0,S,Nelson,26/07/2016,5.9,3032.0,3.0,2.0,1.0,314.0,177.0,2010.0,Moonee Valley City Council,-37.7778,144.9042,Western Metropolitan,6567.0,746250.0
Ascot Vale,6 Waller Ct,3,h,786000.0,S,Brad,26/07/2016,5.9,3032.0,3.0,2.0,1.0,576.0,120.0,1940.0,Moonee Valley City Council,-37.7816,144.9217,Western Metropolitan,6567.0,589500.0
Ascot Vale,17 Ascot St,2,h,705000.0,PI,Nelson,27/06/2016,5.9,3032.0,2.0,1.0,3.0,252.0,108.0,1910.0,Moonee Valley City Council,-37.7825,144.9206,Western Metropolitan,6567.0,528750.0
Ascot Vale,73 Kent St,2,h,760000.0,PI,Nelson,27/06/2016,5.9,3032.0,2.0,1.0,1.0,124.0,77.0,1900.0,Moonee Valley City Council,-37.7807,144.9285,Western Metropolitan,6567.0,570000.0
Ascot Vale,1 Bloomfield Rd,3,h,1305000.0,S,Barry,28/05/2016,5.9,3032.0,2.0,1.0,1.0,278.0,166.0,1900.0,Moonee Valley City Council,-37.7768,144.9223,Western Metropolitan,6567.0,978750.0
Ascot Vale,58 Bloomfield Rd,3,h,1215000.0,S,Stockdale,28/08/2016,5.9,3032.0,3.0,1.0,1.0,452.0,175.0,1960.0,Moonee Valley City Council,-37.7762,144.9174,Western Metropolitan,6567.0,911250.0
Ashburton,69 Albion Rd,3,h,1670000.0,S,Jellis,3/12/2016,11.0,3147.0,3.0,2.0,2.0,599.0,220.0,1930.0,Boroondara City Council,-37.8673,145.0688,Southern Metropolitan,3052.0,1252500.0
Ashburton,3 Dunlop St,3,h,1555000.0,S,Jellis,4/06/2016,11.0,3147.0,3.0,2.0,2.0,731.0,149.0,1935.0,Boroondara City Council,-37.8666,145.0676,Southern Metropolitan,3052.0,1166250.0
Ashburton,16a Nicholas St,3,h,1100000.0,PI,Marshall,8/10/2016,11.0,3147.0,3.0,3.0,2.0,276.0,178.0,2004.0,Boroondara City Council,-37.8699,145.0778,Southern Metropolitan,3052.0,825000.0
Ashburton,5 Nicholas St,3,h,1337000.0,S,Buxton,8/10/2016,11.0,3147.0,3.0,1.0,2.0,583.0,112.0,1950.0,Boroondara City Council,-37.8685,145.0786,Southern Metropolitan,3052.0,1002750.0
